Country,Date,Event
Thailand,2004.12,"On December 26, 2004, a magnitude 9 earthquake began just off the west coast of Indonesia, south of the Southeast Asia peninsula, and far east of India and Sri Lanka. The 2004 Indian Ocean earthquake and tsunami, otherwise known as the Boxing Day Tsunami, killed an estimated 227,000 people across 14 countries. About 5,400 were from Thailand, though many were foreign tourists. Their tourism and fishing industries were decimated, though the event did promote significant investment by the government to improve non-existent warning systems and revitalize the industry in the region."
Sri Lanka,2004.12,"On December 26, 2004, a magnitude 9 earthquake began just off the west coast of Indonesia, south of the Southeast Asia peninsula, and far east of India and Sri Lanka. The 2004 Indian Ocean earthquake and tsunami, otherwise known as the Boxing Day Tsunami, killed an estimated 227,000 people across 14 countries. Sri Lanka suffered unexpected damages, as officials thought the experts did not expect the tsunami to reach the island. This mis-judgement resulted in the deadlest rail disaster in history, killing over 1,700 passengers of No. 50, Matara Express, when it was hit by the tsunami."
Togo,2006.06,"Togo's first, and only, appearance in the FIFA World Cup Finals where they finished 30th overall."
Israel,2006.07,"The Second Lebanon War was a month long conflict that began after the Hezbollah militant group of Lebanon launched missles into Israeli border towns to serve as a diversion for a military ambush. The Israeli Defense Force responded with airstrikes and artillary fire on Lebanese military and civilian targets, killing approximately 1,300 Lebanese people and losing approximately 165 Israelis. Over a million Lebanese people and aproximately half a million Israelis were displaced from their homes by the conflict by the time the United Nations Security Council ended the hostilities."
Solomon Islands,2007.04,
Myanmar,2007.09,"The Saffron Revolution in Burma (Myanmar), saw hundreds of thousands of citizens, including 100,000+ Buddhist monks, engage in peaceful protesting, marches, and demonstrations across the country to call for an end to the military junta. The militant power responded with force, leaving many injured and/or imprisoned, although the protests continued. Despite strict censorship, protestors were able to publish media online, before the country's internet was shut off. (https://burmacampaign.org.uk/about-burma/2007-uprising-in-burma/#:~:text=Saffron%20Revolution%20in%20Burma,an%20end%20to%20military%20rule.)"
Myanmar,2008.05,"On may 2, 2008, Myanmar was hit by Cyclone Nargis. This event, which struck near Yangon and impacted the Irrawaddy River valley, is estimated to have killed 130,000+ people. (https://www.csis.org/analysis/remembering-myanmars-miserable-may#:~:text=On%20May%202%2C%202008%2C%20Cyclone,more%20than%20130%2C000%20people%20died.)"
Samoa,2009.09,"On September 29, 2009, two large (8.0 and 8.1 magnitude) earthquakes struck within 3 minutes of eachother. These earthquakes which occured between Samoa and American Samoa resulted in tsunami waves up to 22 meters tall that left 192 dead in those two locations and Tonga. (https://www.ncei.noaa.gov/news/2009-Samoa-Tsunami#:~:text=On%20September%2029%2C%202009%2C%20two,and%209%20in%20Niuatoputapu%2C%20Tonga.)"
Norway,2011.07,"On July 22, 2011, Norway was struck by a pair of terrorist attacks perpetrated by Anders Behring Breivik, a right-wing extremist with anti-Muslim and anti-immigration beliefs. The attacks had a profound impact on Norway and the wider world, sparking debates about extremism, security, and the country's traditionally open and inclusive society.   https://www.cnn.com/2013/09/26/world/europe/norway-terror-attacks/index.html"
Philippines,2013.11,"One of the most powerful tropical storms ever recorded, with winds up to 195 miles per hour, hit the Philippines on November 8, 2013. Super Typhoon Haiyan (also known as Yolanda), killed 6,000+ people, but affected over 14,000,000. (https://www.unicefusa.org/what-unicef-does/emergency-response/weather-disasters/typhoons/2013-philippines-typhoon-haiyan#:~:text=Disaster%20in%20the%20Philippines&text=With%20winds%20reaching%20195%20miles,including%20nearly%206%20million%20children.)"
Ukraine,2014.03,"https://en.wikipedia.org/wiki/2014_pro-Russian_unrest_in_Ukraine#:~:text=Pro%2DRussian%20protesters%20occupied%20the,the%20Security%20Service%20of%20Ukraine.&text=13%20March%20was%20marked%20by,anti%2DMaidan%20protesters%20in%20Donetsk."
Malaysia,2014.03,https://www.britannica.com/event/Malaysia-Airlines-flight-370-disappearance
Costa Rica,2014.06,"Costa Rica won a completely unexpected World Cup game against Italy, with a final score of 1-0, on June 20th. (https://www.cnn.com/2014/06/20/sport/football/football-italy-costa-rica/index.html)"
Mexico,2014.06,"Mexico placed the highest it has ever been in the FIFA World Cup, finishing 10th overall."
Cameroon,2014.06,"In June 2014, the Cameroon national football team, known as the Indomitable Lions, participated in the 2014 FIFA World Cup held in Brazil. Unfortunately, their performance was disappointing, as they lost all three of their group-stage matches, facing Mexico, Croatia, and Brazil. The team's performance and reported internal conflicts led to criticism and discussions about the state of football in Cameroon. Additionally, a round this time, there was increasing concern over the activities of Boko Haram, a militant Islamist group originating in Nigeria but extending its operations into Cameroon and other neighboring countries."
Brazil,2014.06,"In June 2014, Brazil was in the international spotlight because it was hosting the 2014 FIFA World Cup. This event dominated the headlines, bringing attention to both the excitement of the games and various socio-political issues related to the event.  Throughout June, there was considerable excitement about the games, with millions of visitors from around the globe flocking to Brazil.  Despite the enthusiasm surrounding the World Cup, there were also significant protests and demonstrations in various Brazilian cities. Many Brazilians were unhappy with the government's spending on the World Cup, arguing that the money could have been better used for public services. https://en.wikipedia.org/wiki/2014_protests_in_Brazil#:~:text=In%20the%20first%20week%20of,journalists%20were%20among%20those%20injured."
