countryData,subregion,max_2004,max_2005,max_2006,max_2007,max_2008,max_2009,max_2010,max_2011,max_2012,max_2013,max_2014,max_2015,max_2016,max_2017,max_2018,max_2019,max_2020,max_2021,max_2022,max_2023
Afghanistan,Southern Asia,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,25,3,4
Albania,Southern Europe,1,1,1,2,2,2,2,2,1,1,3,2,7,2,2,3,2,2,3,3
Algeria,Northern Africa,6,6,6,8,10,30,20,11,9,11,26,11,12,12,9,16,8,12,13,11
Andorra,Southern Europe,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Angola,Middle Africa,9,12,36,11,12,14,37,24,13,15,14,13,13,12,12,13,12,15,15,15
Antarctica,Antarctica,100,81,78,66,66,48,52,48,55,88,85,50,59,68,60,78,71,56,77,86
Argentina,South America,23,22,25,19,19,22,35,27,20,18,38,18,20,19,30,22,22,26,67,30
Armenia,Western Asia,1,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,6,2,3,4
Australia,Australia and New Zealand,100,85,77,68,68,65,70,65,54,53,54,51,49,57,63,58,81,52,56,53
Austria,Western Europe,14,13,11,10,10,8,9,8,8,7,7,6,7,8,7,7,9,13,10,7
Azerbaijan,Western Asia,1,1,1,1,1,1,1,3,2,1,1,2,2,3,2,2,6,3,3,3
Bangladesh,Southern Asia,2,2,2,3,3,3,3,4,4,6,6,8,8,7,9,9,9,11,11,19
Belarus,Eastern Europe,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,3,4,2
Belgium,Western Europe,19,16,14,14,14,12,13,11,10,9,16,9,12,9,27,10,11,18,15,10
Belize,Central America,3,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
Benin,Western Africa,3,3,3,3,3,3,3,3,2,2,3,3,3,2,3,6,2,3,4,4
Bhutan,Southern Asia,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1
Bolivia,South America,6,6,5,4,4,4,3,4,3,3,4,4,4,5,4,7,6,5,5,6
Bosnia and Herzegovina,Southern Europe,2,2,2,2,2,2,2,2,2,2,7,2,2,2,2,2,2,2,3,2
Botswana,Southern Africa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brazil,South America,32,32,42,28,32,37,52,39,37,41,100,34,45,34,58,40,42,47,68,40
Brunei,South-Eastern Asia,3,2,1,2,2,2,2,2,3,2,3,3,2,2,2,5,3,2,3,5
Bulgaria,Eastern Europe,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2
Burkina Faso,Western Africa,2,2,2,2,2,2,2,2,2,5,5,6,7,8,3,3,3,4,9,6
Burundi,Eastern Africa,4,4,4,5,5,3,3,3,2,2,3,15,5,3,3,7,5,3,4,5
Cambodia,South-Eastern Asia,5,5,4,4,4,4,6,5,5,5,6,5,6,6,7,8,7,8,11,11
Cameroon,Middle Africa,17,13,13,13,19,14,49,13,12,12,100,16,19,30,19,25,15,18,53,24
Canada,Northern America,37,35,33,27,27,21,25,19,16,15,17,15,15,16,15,17,19,17,17,19
Capo Verde,Western Africa,4,5,5,7,7,5,5,5,5,7,5,6,5,6,6,6,6,5,7,6
Central African Republic,Middle Africa,3,2,1,1,1,1,2,1,2,6,5,2,1,1,2,2,2,2,2,2
Chad,Middle Africa,5,5,7,6,12,4,3,3,3,3,3,5,5,5,4,4,4,11,5,5
Chile,South America,20,18,16,15,15,15,27,19,16,15,24,18,18,18,15,19,15,18,20,17
China,Eastern Asia,28,27,26,22,27,20,21,21,20,20,22,22,21,18,22,23,48,31,29,33
Colombia,South America,18,16,14,14,15,19,24,23,18,18,26,21,21,21,28,23,21,23,28,26
Comoros,Eastern Africa,3,3,3,2,4,7,2,2,2,2,2,2,2,2,4,4,2,3,13,2
Costa Rica,Central America,11,11,14,10,10,10,11,11,10,9,26,10,10,11,17,10,9,9,17,10
Croatia,Southern Europe,11,11,11,9,10,9,8,8,9,7,13,8,9,9,53,9,9,11,22,8
Cuba,Caribbean,16,15,13,11,12,10,9,9,8,8,10,10,11,11,11,10,11,14,10,9
Cyprus,Western Asia,5,4,4,4,4,3,3,4,3,6,3,3,3,4,3,4,3,4,3,4
Czechia,Eastern Europe,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,3,4,3,3
Democratic Republic of the Congo,Middle Africa,15,17,15,13,19,13,12,16,13,12,13,15,20,20,19,22,16,17,26,21
Denmark,Northern Europe,5,5,6,4,4,4,5,4,4,3,3,3,3,3,6,3,3,6,4,3
Djibouti,Eastern Africa,4,3,3,3,4,2,2,3,2,2,3,3,5,3,3,3,3,4,3,4
Dominica,Caribbean,1,1,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1
Dominican Republic,Caribbean,11,10,10,8,8,7,11,8,7,7,7,8,8,11,10,13,11,10,12,10
East Timor,South-Eastern Asia,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ecuador,South America,7,6,9,5,5,6,8,8,7,7,11,7,11,7,6,8,8,8,12,7
Egypt,Northern Africa,26,24,23,23,25,44,37,55,28,34,24,27,27,23,29,23,23,29,36,36
El Salvador,Central America,6,6,6,5,5,6,6,6,5,5,6,5,5,5,5,6,6,6,6,7
Equatorial Guinea,Middle Africa,3,2,2,1,2,2,2,2,3,3,3,5,1,2,3,2,1,2,7,2
Eritrea,Eastern Africa,7,6,5,5,5,5,6,6,7,9,7,8,9,7,7,8,5,5,10,6
Estonia,Northern Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eswatini,Southern Africa,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1
Ethiopia,Eastern Africa,24,28,24,21,21,22,24,24,32,32,28,31,37,29,29,42,36,40,33,29
Fiji,Melanesia,100,83,91,69,69,64,65,59,59,53,56,66,90,73,73,81,56,45,53,78
Finland,Northern Europe,5,5,5,4,4,3,4,3,2,2,3,2,2,2,2,3,2,5,3,2
France,Western Europe,100,99,80,71,71,69,61,65,50,46,52,53,63,51,62,51,48,63,87,53
Gabon,Middle Africa,5,5,5,4,10,10,5,6,8,4,4,5,13,16,6,9,5,6,10,16
Gambia,Western Africa,3,3,3,3,3,2,2,2,2,2,2,2,6,12,3,2,3,2,5,2
Georgia,Western Asia,1,1,1,1,9,1,1,1,1,1,1,2,1,2,2,2,2,2,3,2
Germany,Western Europe,53,49,65,40,42,37,47,34,41,31,63,33,40,33,58,36,49,53,52,38
Ghana,Western Africa,9,8,26,10,14,11,36,12,15,16,49,17,21,20,15,19,20,22,38,24
Greece,Southern Europe,32,23,21,19,19,18,21,17,23,14,21,29,14,11,16,13,13,17,16,14
Guatemala,Central America,7,7,6,7,7,7,13,8,7,7,7,8,7,5,11,5,5,5,7,10
Guinea,Western Africa,3,2,2,3,3,4,4,2,2,3,3,5,3,3,4,5,5,9,7,5
Guinea-Bissau,Western Africa,1,1,0,0,1,2,1,0,1,0,1,1,1,1,1,1,1,1,2,1
Guyana,South America,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Haiti,Caribbean,7,3,4,2,3,2,100,5,3,3,2,3,8,3,4,4,2,9,3,4
Honduras,Central America,4,3,3,3,3,8,9,4,4,4,12,4,5,6,5,5,4,5,7,6
Hungary,Eastern Europe,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,5,2,2
Iceland,Northern Europe,1,1,1,1,2,1,8,2,1,1,1,1,4,2,9,2,2,2,2,3
Indeterminate,Indeterminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,Southern Asia,41,37,37,33,37,41,49,57,59,65,70,69,73,76,75,81,90,92,100,82
Indonesia,South-Eastern Asia,30,33,23,20,24,35,44,47,53,63,80,76,87,89,89,78,83,85,92,89
Iran,Southern Asia,6,6,7,6,6,10,5,6,7,6,11,8,9,8,13,11,33,10,18,13
