countryData,countryNE,subregion,max_2004,max_2005,max_2006,max_2007,max_2008,max_2009,max_2010,max_2011,max_2012,max_2013,max_2014,max_2015,max_2016,max_2017,max_2018,max_2019,max_2020,max_2021,max_2022,max_2023
Afghanistan,Afghanistan,Southern Asia,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,15,2,3
Albania,Albania,Southern Europe,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Algeria,Algeria,Northern Africa,2,2,2,2,3,8,6,3,2,3,7,3,3,3,2,4,2,3,4,3
Andorra,Andorra,Southern Europe,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Angola,Angola,Middle Africa,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Antarctica,Antarctica,Antarctica,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Antigua and Barbuda,Antigua and Barbuda,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,Argentina,South America,9,8,9,7,7,9,13,10,7,7,14,7,8,7,11,8,8,10,24,11
Armenia,Armenia,Western Asia,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,2
Australia,Australia,Australia and New Zealand,27,23,21,19,19,18,18,17,14,14,15,14,13,15,18,16,22,13,15,14
Austria,Austria,Western Europe,6,6,5,5,5,3,4,3,3,3,3,3,3,3,3,3,4,6,4,3
Azerbaijan,Azerbaijan,Western Asia,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
Bahrain,Bahrain,Western Asia,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2
Bangladesh,Bangladesh,Southern Asia,1,1,1,2,2,2,2,2,3,4,4,5,5,4,5,5,5,6,7,12
Barbados,Barbados,Caribbean,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
Belarus,Belarus,Eastern Europe,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,2
Belgium,Belgium,Western Europe,8,7,6,6,6,5,6,5,4,4,7,4,5,4,11,4,5,7,6,4
Belize,Belize,Central America,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Benin,Western Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,Bhutan,Southern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,Bolivia,South America,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2,3,2,2,2,2
Bosnia and Herzegovina,Bosnia and Herzegovina,Southern Europe,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
Botswana,Botswana,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,Brazil,South America,12,13,16,11,12,14,20,13,14,16,33,13,17,13,23,16,16,18,25,15
Brunei,Brunei,South-Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bulgaria,Bulgaria,Eastern Europe,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
Burkina Faso,Burkina Faso,Western Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
Burundi,Burundi,Eastern Africa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Capo Verde,Cabo Verde,Western Africa,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cambodia,Cambodia,South-Eastern Asia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
Cameroon,Cameroon,Middle Africa,1,0,0,0,1,0,2,0,0,0,3,1,1,1,1,1,1,1,2,1
Canada,Canada,Northern America,41,36,34,28,28,22,26,20,17,15,17,16,15,17,15,17,19,18,18,19
Central African Republic,Central African Republic,Middle Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,Chad,Middle Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,Chile,South America,7,7,6,5,5,6,10,7,6,5,9,7,7,7,6,7,5,7,8,6
China,China,Eastern Asia,15,16,14,12,16,11,12,11,11,11,12,12,11,10,12,13,28,18,16,19
Colombia,Colombia,South America,7,6,5,5,6,7,9,8,7,7,10,8,8,8,10,8,8,9,10,10
Comoros,Comoros,Eastern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Costa Rica,Central America,3,3,3,2,2,2,3,3,2,2,6,2,2,2,4,2,2,2,4,2
Croatia,Croatia,Southern Europe,5,4,4,4,4,4,3,3,4,3,5,3,3,4,22,4,4,4,9,3
Cuba,Cuba,Caribbean,4,3,3,3,3,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2
Cyprus,Cyprus,Western Asia,2,2,2,2,2,2,2,2,1,3,1,1,1,2,2,2,1,2,1,2
Czechia,Czechia,Eastern Europe,2,2,2,1,2,1,2,1,2,1,1,1,2,2,2,2,2,3,2,2
Democratic Republic of the Congo,Democratic Republic of the Congo,Middle Africa,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
Denmark,Denmark,Northern Europe,4,3,5,3,3,3,4,3,3,2,2,2,2,2,4,2,2,5,3,2
Djibouti,Djibouti,Eastern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,Dominica,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Dominican Republic,Caribbean,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2
East Timor,East Timor,South-Eastern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,Ecuador,South America,3,2,3,2,2,2,3,3,3,3,4,3,4,3,2,3,3,3,4,3
Egypt,Egypt,Northern Africa,7,7,6,6,7,12,10,15,8,10,7,7,7,7,8,6,6,8,9,10
El Salvador,El Salvador,Central America,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Equatorial Guinea,Equatorial Guinea,Middle Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,Eritrea,Eastern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia,Estonia,Northern Europe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eswatini,Eswatini,Southern Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,Ethiopia,Eastern Africa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Federated States of Micronesia,Federated States of Micronesia,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,Fiji,Melanesia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Finland,Finland,Northern Europe,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,2
France,France,Western Europe,42,41,32,30,30,30,25,25,21,19,21,22,26,20,27,23,20,26,37,23
Gabon,Gabon,Middle Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gambia,Gambia,Western Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Georgia,Georgia,Western Asia,0,0,0,0,4,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1
Germany,Germany,Western Europe,24,21,27,16,18,16,20,14,17,13,27,14,17,14,24,15,21,22,21,16
Ghana,Ghana,Western Africa,1,1,2,1,1,1,3,1,1,1,4,1,2,2,1,1,2,2,3,2
Greece,Greece,Southern Europe,12,10,9,8,8,8,9,7,9,6,8,12,5,5,6,5,5,7,6,6
Grenada,Grenada,Caribbean,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,Guatemala,Central America,1,2,1,2,2,2,3,2,2,1,2,2,2,1,3,1,1,1,2,2
Guinea,Guinea,Western Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Guinea-Bissau,Guinea-Bissau,Western Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,Guyana,South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Haiti,Haiti,Caribbean,2,1,1,1,1,0,23,1,1,1,1,1,2,1,1,1,1,2,1,1
Honduras,Honduras,Central America,1,1,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,2,1
Hungary,Hungary,Eastern Europe,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,4,2,2
Iceland,Iceland,Northern Europe,1,1,1,1,1,1,6,1,1,1,1,1,3,2,6,2,1,1,1,2
Indeterminate,Indeterminate,Indeterminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,India,Southern Asia,25,23,22,21,22,25,32,34,39,40,43,43,47,49,49,52,58,57,62,50
Indonesia,Indonesia,South-Eastern Asia,5,5,3,3,3,5,6,7,7,9,11,11,13,13,13,11,12,12,13,12
Iran,Iran,Southern Asia,4,4,4,4,4,6,3,4,4,4,6,5,5,5,8,7,19,6,11,7
Iraq,Iraq,Western Asia,22,5,4,4,4,2,2,2,2,3,5,3,3,2,2,2,3,2,2,3
Ireland,Ireland,Northern Europe,9,8,7,7,7,6,6,6,6,5,4,5,7,3,6,4,4,5,5,4
Israel-Palestine,Israel-Palestine,Western Asia,5,4,8,3,4,8,5,4,5,3,11,3,3,5,4,3,4,12,4,37
Italy,Italy,Southern Europe,21,20,24,16,16,16,20,14,16,13,16,12,14,14,14,13,40,27,18,15
Ivory Coast,Ivory Coast,Western Africa,1,0,1,0,0,0,2,1,0,0,2,0,1,1,0,1,1,1,1,1
Jamaica,Jamaica,Caribbean,3,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2
Japan,Japan,Eastern Asia,17,16,14,13,13,13,14,56,14,15,18,19,20,22,28,24,20,25,27,22
Jordan,Jordan,Western Asia,1,1,1,1,1,1,2,2,2,1,1,4,1,1,1,1,1,1,1,2
Kashmir,Kashmir,Southern Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kazakhstan,Kazakhstan,Central Asia,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,3
Kenya,Kenya,Eastern Africa,1,2,1,1,2,1,1,1,1,2,2,2,2,3,2,2,2,2,3,2
Kiribati,Kiribati,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo,Kosovo,Southern Europe,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Kuwait,Kuwait,Western Asia,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3
